id,food_name,image_url
1,Thai Vegetable Salad,https://source.unsplash.com/featured/?Thai-Vegetable-Salad
2,Mediterranean Chicken Rice,https://source.unsplash.com/featured/?Mediterranean-Chicken-Rice
3,Chinese Tofu Rice,https://source.unsplash.com/featured/?Chinese-Tofu-Rice
4,Mediterranean Tofu Curry,https://source.unsplash.com/featured/?Mediterranean-Tofu-Curry
5,Chinese Vegetable Biryani,https://source.unsplash.com/featured/?Chinese-Vegetable-Biryani
6,Mexican Fish Roast,https://source.unsplash.com/featured/?Mexican-Fish-Roast
7,Indian Lamb Salad,https://source.unsplash.com/featured/?Indian-Lamb-Salad
8,American Beef Curry,https://source.unsplash.com/featured/?American-Beef-Curry
9,French Mushroom Tacos,https://source.unsplash.com/featured/?French-Mushroom-Tacos
10,Mediterranean Prawn Biryani,https://source.unsplash.com/featured/?Mediterranean-Prawn-Biryani
11,Japanese Paneer Fry,https://source.unsplash.com/featured/?Japanese-Paneer-Fry
12,Mediterranean Vegetable Pasta,https://source.unsplash.com/featured/?Mediterranean-Vegetable-Pasta
13,Indian Prawn Roast,https://source.unsplash.com/featured/?Indian-Prawn-Roast
14,Mexican Vegetable Stew,https://source.unsplash.com/featured/?Mexican-Vegetable-Stew
15,American Tofu Soup,https://source.unsplash.com/featured/?American-Tofu-Soup
16,Mediterranean Mushroom Grill,https://source.unsplash.com/featured/?Mediterranean-Mushroom-Grill
17,Thai Fish Sandwich,https://source.unsplash.com/featured/?Thai-Fish-Sandwich
18,Italian Paneer Soup,https://source.unsplash.com/featured/?Italian-Paneer-Soup
19,Chinese Mushroom Fry,https://source.unsplash.com/featured/?Chinese-Mushroom-Fry
20,Chinese Beef Soup,https://source.unsplash.com/featured/?Chinese-Beef-Soup
21,Indian Egg Fry,https://source.unsplash.com/featured/?Indian-Egg-Fry
22,Chinese Fish Tacos,https://source.unsplash.com/featured/?Chinese-Fish-Tacos
23,Indian Prawn Fry,https://source.unsplash.com/featured/?Indian-Prawn-Fry
24,Mexican Paneer Fry,https://source.unsplash.com/featured/?Mexican-Paneer-Fry
25,Japanese Beef Rice,https://source.unsplash.com/featured/?Japanese-Beef-Rice
26,Chinese Lamb Noodles,https://source.unsplash.com/featured/?Chinese-Lamb-Noodles
27,Mexican Fish Roast,https://source.unsplash.com/featured/?Mexican-Fish-Roast
28,Thai Prawn Soup,https://source.unsplash.com/featured/?Thai-Prawn-Soup
29,American Tofu Soup,https://source.unsplash.com/featured/?American-Tofu-Soup
30,Mediterranean Tofu Noodles,https://source.unsplash.com/featured/?Mediterranean-Tofu-Noodles
31,American Chicken Grill,https://source.unsplash.com/featured/?American-Chicken-Grill
32,Thai Egg Fry,https://source.unsplash.com/featured/?Thai-Egg-Fry
33,Mexican Vegetable Pasta,https://source.unsplash.com/featured/?Mexican-Vegetable-Pasta
34,Thai Egg Salad,https://source.unsplash.com/featured/?Thai-Egg-Salad
35,French Tofu Curry,https://source.unsplash.com/featured/?French-Tofu-Curry
36,American Prawn Noodles,https://source.unsplash.com/featured/?American-Prawn-Noodles
37,Japanese Lamb Fry,https://source.unsplash.com/featured/?Japanese-Lamb-Fry
38,Indian Mushroom Roast,https://source.unsplash.com/featured/?Indian-Mushroom-Roast
39,Japanese Fish Grill,https://source.unsplash.com/featured/?Japanese-Fish-Grill
40,Mexican Egg Curry,https://source.unsplash.com/featured/?Mexican-Egg-Curry
41,Japanese Fish Roast,https://source.unsplash.com/featured/?Japanese-Fish-Roast
42,French Beef Fry,https://source.unsplash.com/featured/?French-Beef-Fry
43,American Vegetable Rice,https://source.unsplash.com/featured/?American-Vegetable-Rice
44,French Egg Tacos,https://source.unsplash.com/featured/?French-Egg-Tacos
45,American Paneer Fry,https://source.unsplash.com/featured/?American-Paneer-Fry
46,Italian Egg Pasta,https://source.unsplash.com/featured/?Italian-Egg-Pasta
47,Thai Mushroom Salad,https://source.unsplash.com/featured/?Thai-Mushroom-Salad
48,Italian Chicken Fry,https://source.unsplash.com/featured/?Italian-Chicken-Fry
49,American Beef Pasta,https://source.unsplash.com/featured/?American-Beef-Pasta
50,Chinese Paneer Grill,https://source.unsplash.com/featured/?Chinese-Paneer-Grill
51,French Chicken Grill,https://source.unsplash.com/featured/?French-Chicken-Grill
52,Mexican Paneer Grill,https://source.unsplash.com/featured/?Mexican-Paneer-Grill
53,Japanese Vegetable Roast,https://source.unsplash.com/featured/?Japanese-Vegetable-Roast
54,Chinese Egg Soup,https://source.unsplash.com/featured/?Chinese-Egg-Soup
55,French Chicken Stew,https://source.unsplash.com/featured/?French-Chicken-Stew
56,French Lamb Noodles,https://source.unsplash.com/featured/?French-Lamb-Noodles
57,Mediterranean Paneer Rice,https://source.unsplash.com/featured/?Mediterranean-Paneer-Rice
58,Chinese Prawn Tacos,https://source.unsplash.com/featured/?Chinese-Prawn-Tacos
59,Italian Lamb Curry,https://source.unsplash.com/featured/?Italian-Lamb-Curry
60,Mexican Lamb Soup,https://source.unsplash.com/featured/?Mexican-Lamb-Soup
61,French Paneer Biryani,https://source.unsplash.com/featured/?French-Paneer-Biryani
62,Italian Egg Salad,https://source.unsplash.com/featured/?Italian-Egg-Salad
63,Indian Egg Pasta,https://source.unsplash.com/featured/?Indian-Egg-Pasta
64,Italian Mushroom Roast,https://source.unsplash.com/featured/?Italian-Mushroom-Roast
65,Chinese Lamb Pasta,https://source.unsplash.com/featured/?Chinese-Lamb-Pasta
66,Italian Mushroom Roast,https://source.unsplash.com/featured/?Italian-Mushroom-Roast
67,Indian Paneer Biryani,https://source.unsplash.com/featured/?Indian-Paneer-Biryani
68,Japanese Beef Soup,https://source.unsplash.com/featured/?Japanese-Beef-Soup
69,Italian Paneer Roast,https://source.unsplash.com/featured/?Italian-Paneer-Roast
70,Italian Paneer Stew,https://source.unsplash.com/featured/?Italian-Paneer-Stew
71,French Vegetable Roast,https://source.unsplash.com/featured/?French-Vegetable-Roast
72,Chinese Paneer Roast,https://source.unsplash.com/featured/?Chinese-Paneer-Roast
73,Mediterranean Fish Sandwich,https://source.unsplash.com/featured/?Mediterranean-Fish-Sandwich
74,Chinese Prawn Tacos,https://source.unsplash.com/featured/?Chinese-Prawn-Tacos
75,Japanese Lamb Rice,https://source.unsplash.com/featured/?Japanese-Lamb-Rice
76,Mexican Fish Noodles,https://source.unsplash.com/featured/?Mexican-Fish-Noodles
77,Mediterranean Vegetable Stew,https://source.unsplash.com/featured/?Mediterranean-Vegetable-Stew
78,Italian Egg Sandwich,https://source.unsplash.com/featured/?Italian-Egg-Sandwich
79,Thai Fish Fry,https://source.unsplash.com/featured/?Thai-Fish-Fry
80,Indian Egg Salad,https://source.unsplash.com/featured/?Indian-Egg-Salad
81,Italian Beef Tacos,https://source.unsplash.com/featured/?Italian-Beef-Tacos
82,American Chicken Curry,https://source.unsplash.com/featured/?American-Chicken-Curry
83,Chinese Beef Roast,https://source.unsplash.com/featured/?Chinese-Beef-Roast
84,Chinese Mushroom Fry,https://source.unsplash.com/featured/?Chinese-Mushroom-Fry
85,Indian Tofu Noodles,https://source.unsplash.com/featured/?Indian-Tofu-Noodles
86,Indian Prawn Rice,https://source.unsplash.com/featured/?Indian-Prawn-Rice
87,Mediterranean Fish Biryani,https://source.unsplash.com/featured/?Mediterranean-Fish-Biryani
88,American Lamb Salad,https://source.unsplash.com/featured/?American-Lamb-Salad
89,American Mushroom Roast,https://source.unsplash.com/featured/?American-Mushroom-Roast
90,Chinese Chicken Tacos,https://source.unsplash.com/featured/?Chinese-Chicken-Tacos
91,Mediterranean Vegetable Noodles,https://source.unsplash.com/featured/?Mediterranean-Vegetable-Noodles
92,Thai Mushroom Curry,https://source.unsplash.com/featured/?Thai-Mushroom-Curry
93,Japanese Fish Sandwich,https://source.unsplash.com/featured/?Japanese-Fish-Sandwich
94,Japanese Paneer Rice,https://source.unsplash.com/featured/?Japanese-Paneer-Rice
95,American Tofu Tacos,https://source.unsplash.com/featured/?American-Tofu-Tacos
96,American Fish Sandwich,https://source.unsplash.com/featured/?American-Fish-Sandwich
97,Italian Tofu Curry,https://source.unsplash.com/featured/?Italian-Tofu-Curry
98,Mexican Chicken Sandwich,https://source.unsplash.com/featured/?Mexican-Chicken-Sandwich
99,Indian Vegetable Fry,https://source.unsplash.com/featured/?Indian-Vegetable-Fry
