dishName,imageUrl,notes
chicken alfredo,https://images.unsplash.com/photo-1604908177522-3d0f2f7b8c5a,example mapped URL
tomato pasta,https://images.unsplash.com/photo-1529042410759-befb1204b468,example mapped URL
Boiled Chicken Morsels,,add your image URL here
Baked Chicken Chunks,,add your image URL here
Seared Chicken Strips,,add your image URL here
Chicken Pulao,,add your image URL here
Steamed Chicken with Rice,,add your image URL here
Boiled Chicken and Rice Bowl,,add your image URL here
Chicken and Rice Medley,,add your image URL here
Chicken Alfredo (variation),,optional duplicate name variant
Vegetarian Pasta with Tomato,,for vegetarian recommendations
Vegan Stir Fry Bowl,,for vegan recommendations
Grilled Salmon with Lemon,,seafood example
Beef Stir Fry,,meat example
Mushroom Risotto,,vegetarian example
Avocado Toast,,simple breakfast example
